"","long","lat","comclust","temperature","NO3","salinity","dataset"
"175",66.4895,18.5745,2,26.897,0,36.2986,"V9-micro"
"176",63.5128,20.8116,4,25.268343,0.387014,36.545436,"V9-micro"
"177",53.9825,-16.953,3,24.924556,0.244232,34.899611,"V9-micro"
"178",-140.515,-9.1463,5,26.5706,6.685781,35.408692,"V9-micro"
"179",17.9393,42.456,1,18.142625,NA,38.114217,"V9-micro"
"180",-139.206,-9.006,4,26.5644,5.948386,35.363833,"V9-micro"
"181",-49.3273,-62.14,5,0.758658,28.881967,34.351058,"V9-micro"
"182",17.3868,39.8661,1,15.979564,NA,38.266721,"V9-micro"
"183",-3.2085,-20.3943,5,19.776808,0.168013,36.376225,"V9-micro"
"184",-95.9893,-12.991,4,25.2512,4.590737,35.835267,"V9-micro"
"185",-100.679,-16.9763,4,20.445864,2.410016,35.746607,"V9-micro"
"186",32.8849,33.9178,1,20.45375,0,39.425058,"V9-micro"
"187",66.522,18.5667,2,26.81765,0,36.285367,"V9-micro"
"188",-17.9179,-8.7484,3,25.02619,0.263475,36.42324,"V9-micro"
"189",17.7179,42.1694,5,15.868114,NA,38.340893,"V9-micro"
"190",-85.1696,-5.2514,1,24.943108,11.688971,34.748175,"V9-micro"
"191",37.9974,-29.4964,2,22.216956,0,35.321383,"V9-micro"
"192",-17.9926,-8.6996,3,25.009775,0.159226,36.424988,"V9-micro"
"193",1.9575,37.0299,1,23.82575,NA,37.4911,"V9-micro"
"194",20.1718,38.4735,3,19.168658,NA,38.356667,"V9-micro"
"195",14.9133,34.4933,1,21.472817,NA,38.378467,"V9-micro"
"196",-140.279,-8.9056,5,26.63952,5.321003,35.35772,"V9-micro"
"197",64.4913,19.0393,4,26.2314,0.889376,36.617917,"V9-micro"
"198",-111.735,-25.8162,1,20.325407,0.178539,35.874018,"V9-micro"
"199",-84.5652,2.0218,4,27.61049,1.072909,33.46018,"V9-micro"
"200",-140.29,-8.8923,4,NA,NA,NA,"V9-micro"
"201",19.3906,39.3885,3,18.342533,NA,38.182917,"V9-micro"
"202",66.522,18.5667,2,26.81765,0,36.285367,"V9-micro"
"203",63.5047,20.8183,4,25.581433,NA,36.530058,"V9-micro"
"204",38.2517,21.9467,4,27.329517,0,38.937417,"V9-micro"
"205",-142.631,-8.894,5,26.869383,6.03141,35.4224,"V9-micro"
"206",69.9775,14.6067,2,29.089367,0,36.024883,"V9-micro"
"207",-142.594,-8.8946,5,23.873341,3.432049,36.306141,"V9-micro"
"208",19.3886,39.4046,1,15.771337,NA,38.413912,"V9-micro"
"209",-84.576,1.9958,4,27.617558,1.210114,33.3676,"V9-micro"
"210",4.668,-31.0551,5,16.948525,2.096308,35.690458,"V9-micro"
"211",37.2183,23.36,1,25.824383,0,39.74725,"V9-micro"
"212",66.4895,18.5745,2,26.897,0,36.2986,"V9-micro"
"213",66.522,18.5667,2,26.81765,0,36.285367,"V9-micro"
"214",17.4138,39.814,1,17.476925,NA,37.885492,"V9-micro"
"215",-96.1101,-12.9119,4,20.995942,3.350768,35.539612,"V9-micro"
"216",34.83,27.155,4,25.0621,0,39.981867,"V9-micro"
"217",37.2383,23.41,2,26.140876,0.218477,40.178726,"V9-micro"
"218",-139.209,-8.9748,4,25.740267,6.190604,35.705141,"V9-micro"
"219",53.9337,-16.9672,3,27.8684,NA,34.566667,"V9-micro"
"220",2.7994,41.6663,1,NA,NA,NA,"V9-micro"
"221",-85.248,-5.2686,4,24.434364,13.402006,34.735666,"V9-micro"
