"","CAP1","CAP2","station","comclust","dataset"
"104",-0.844293522188631,0.394580394138455,"ERR562429",4,"V9-total"
"105",2.60360128502995,0.888534261139144,"ERR562432",3,"V9-total"
"106",-0.825861689115557,0.582915521892985,"ERR562437",5,"V9-total"
"107",-0.420183721537661,1.21544126501694,"ERR562444",5,"V9-total"
"108",-0.594895286836967,0.677592844047726,"ERR562460",5,"V9-total"
"109",-0.660875885213317,0.411717625019717,"ERR562461",5,"V9-total"
"110",2.73928327346004,0.507513432393056,"ERR562478",3,"V9-total"
"111",-0.471258552641728,1.16385653619937,"ERR562483",5,"V9-total"
"112",0.78516165216317,-1.38625847801973,"ERR562495",2,"V9-total"
"113",-0.653589347272547,0.639887430148133,"ERR562512",4,"V9-total"
"114",-0.775100074478834,0.795109708704319,"ERR562518",5,"V9-total"
"115",2.40725328658074,0.84717050721572,"ERR562538",3,"V9-total"
"116",-0.120507804445837,-1.84885846079748,"ERR562544",2,"V9-total"
"117",-0.450117003126162,-0.197255678999807,"ERR562564",1,"V9-total"
"118",-0.225918926875906,-1.674591374282,"ERR562565",2,"V9-total"
"119",-0.784842331541919,0.0288012439103526,"ERR562568",5,"V9-total"
"120",0.481410859750672,-2.03109662952677,"ERR562572",2,"V9-total"
"121",-0.407528523453433,-0.0822106157047699,"ERR562574",5,"V9-total"
"122",-0.718604839280121,0.80606171444821,"ERR562576",5,"V9-total"
"123",1.31616063015888,0.567907910886963,"ERR562641",3,"V9-total"
"124",-0.391283953262071,-1.95222370708528,"ERR562653",5,"V9-total"
"125",-0.365051529467653,-0.970893442560253,"ERR562671",1,"V9-total"
"126",-0.374579005411346,-1.68756733707147,"ERR562677",2,"V9-total"
"127",-0.0345031779454931,-1.35210525600284,"ERR562680",1,"V9-total"
"128",-0.0381960217934682,-2.15441436571545,"ERR562689",2,"V9-total"
"129",-0.441174079018303,0.517687774038018,"ERR562716",4,"V9-total"
"130",0.444337450806417,-0.832045147462889,"ERR562720",1,"V9-total"
